"filename", "language", "TypeScript", "CSS", "vue", "XML", "comment", "blank", "total"
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/App.vue", "vue", 0, 0, 8, 0, 0, 3, 11
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/api/analysis.ts", "TypeScript", 7, 0, 0, 0, 1, 1, 9
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/api/stock.ts", "TypeScript", 58, 0, 0, 0, 8, 9, 75
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/api/user.ts", "TypeScript", 58, 0, 0, 0, 40, 8, 106
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/assets/base.css", "CSS", 0, 110, 0, 0, 19, 29, 158
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/assets/icons/github.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/components/allStocks.vue", "vue", 0, 0, 60, 0, 0, 7, 67
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/components/history.vue", "vue", 0, 0, 137, 0, 0, 13, 150
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/components/holdStocks.vue", "vue", 0, 0, 83, 0, 0, 10, 93
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/components/latest.vue", "vue", 0, 0, 115, 0, 3, 10, 128
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/main.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/router/index.ts", "TypeScript", 14, 0, 0, 0, 52, 3, 69
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/router/routes.ts", "TypeScript", 98, 0, 0, 0, 5, 2, 105
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/stores/index.ts", "TypeScript", 21, 0, 0, 0, 0, 1, 22
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/types/analysis.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 9
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/types/stock.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 12
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/types/user.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 9
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/utils/mock.ts", "TypeScript", 270, 0, 0, 0, 19, 19, 308
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/utils/request.ts", "TypeScript", 39, 0, 0, 0, 2, 6, 47
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/views/404/index.vue", "vue", 0, 0, 18, 0, 0, 3, 21
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/views/layout/dashboard/index.vue", "vue", 0, 0, 101, 0, 3, 11, 115
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/views/layout/index.vue", "vue", 0, 0, 232, 0, 10, 18, 260
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/views/layout/management/index.vue", "vue", 0, 0, 235, 0, 5, 19, 259
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/views/layout/mystocks/index.vue", "vue", 0, 0, 25, 0, 0, 2, 27
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/views/layout/profile/index.vue", "vue", 0, 0, 6, 0, 0, 5, 11
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/views/login/index.vue", "vue", 0, 0, 157, 0, 2, 17, 176
"/Users/suicidekirkland/MyDesktop/MyProject/Stocks-frontend/src/views/register/index.vue", "vue", 0, 0, 228, 0, 1, 20, 249
"Total", "-", 615, 110, 1405, 1, 170, 222, 2523
